,Longitude,Latitude,geometry,index_right,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists?
20,45.4,-22.55,POINT (45.4 -22.54999999999994),1508,5843,215,236,182,793,200,2,103,516,9,447,9,135,67,2175,304,103,201,236,182,1
21,45.4667,-19.5167,POINT (45.4667 -19.51669999999994),3474,3853,272,290,242,1358,404,2,111,889,16,400,16,142,64,1917,368,149,219,285,242,1
22,45.508333,-16.125,POINT (45.508333 -16.12500000000006),6024,1289,266,277,244,1321,422,1,127,983,6,608,6,103,69,1374,326,177,149,274,244,1
23,45.6235,-23.977367,POINT (45.6235 -23.97736699999982),661,6697,237,264,199,809,193,7,100,509,24,509,25,151,69,2553,334,118,216,264,208,1
24,45.753083,-17.43595,POINT (45.753083 -17.43595000000023),5008,2326,232,246,206,1593,413,2,106,1007,15,486,15,131,68,1610,317,126,191,243,206,1
25,45.8667,-16,POINT (45.8667 -15.99999999999986),6082,1237,269,279,248,1402,439,1,126,1016,6,316,6,103,71,1280,329,184,145,276,248,1
26,45.941666,-18.491666,POINT (45.941666 -18.49166600000026),4233,3106,219,234,190,1691,383,6,102,1038,20,541,20,134,67,1804,308,109,199,233,190,1
27,46.0833,-25.1667,POINT (46.0833 -25.16669999999966),68,7309,229,261,189,560,86,18,53,255,64,255,99,127,64,2851,318,120,198,261,209,1
28,46.266667,-17.216667,POINT (46.266667 -17.21666699999974),5208,2137,257,271,235,1668,491,1,116,1126,9,471,10,130,70,1417,342,158,184,265,239,1
69,46.26666667,-17.21666667,POINT (46.26666666999999 -17.21666666999966),5208,2137,257,271,235,1668,491,1,116,1126,9,471,10,130,70,1417,342,158,184,265,239,1
